prototype_id,mean_pos,mean_neg,diff_pos_minus_neg
119,0.008404099,0.0058746673,0.002529432
17,0.0036817964,0.006197051,-0.0025152548
82,0.005452856,0.007944789,-0.0024919328
108,0.0064117755,0.008863625,-0.0024518496
50,0.0056192433,0.008051082,-0.0024318383
30,0.011207771,0.008803308,0.0024044625
122,0.0047973134,0.0071952497,-0.0023979363
70,0.0023200768,0.004629401,-0.0023093242
115,0.004614923,0.006889726,-0.002274803
99,0.007368489,0.009575646,-0.0022071572
1,0.009067952,0.0069495933,0.0021183584
53,0.0071108527,0.005051952,0.002058901
90,0.008699493,0.0067190067,0.0019804859
126,0.0045316834,0.0064996677,-0.0019679843
19,0.005067371,0.0070113637,-0.0019439929
21,0.011901506,0.009964789,0.001936717
104,0.011567052,0.009659659,0.0019073933
39,0.0066291518,0.008529912,-0.00190076
105,0.013938495,0.012062167,0.0018763281
84,0.0072316,0.009071275,-0.0018396745
0,0.007924989,0.0060854014,0.0018395875
63,0.009630203,0.0078097526,0.0018204506
114,0.007368925,0.009166271,-0.0017973464
18,0.00535092,0.007077674,-0.001726754
10,0.0035218762,0.0052184034,-0.0016965272
74,0.012756877,0.011074515,0.0016823616
49,0.0066804807,0.008332545,-0.0016520643
36,0.009013319,0.0074211997,0.0015921197
57,0.010258268,0.008767645,0.0014906228
111,0.0086655095,0.0071845884,0.0014809212
101,0.008056701,0.0065839486,0.0014727525
52,0.0059021446,0.00735612,-0.0014539752
83,0.007420526,0.0059706294,0.0014498965
38,0.010565593,0.009141696,0.0014238972
5,0.00626809,0.007681171,-0.0014130808
23,0.009810883,0.008413665,0.0013972176
67,0.0054737353,0.0068702907,-0.0013965555
71,0.010916065,0.01223884,-0.0013227742
14,0.008624426,0.0073314677,0.0012929584
34,0.007585706,0.0063072,0.0012785061
46,0.009032636,0.0077547655,0.0012778705
65,0.006477674,0.005200068,0.001277606
51,0.007884733,0.0066188457,0.0012658876
123,0.0066891476,0.007949361,-0.0012602131
31,0.0046686986,0.0058733635,-0.0012046648
44,0.008296541,0.009485124,-0.0011885827
58,0.007703643,0.008877428,-0.0011737854
103,0.0057383766,0.0068610404,-0.0011226637
16,0.005086583,0.006200487,-0.0011139037
107,0.0069684507,0.005887274,0.0010811766
87,0.008706113,0.0097808475,-0.0010747341
61,0.011535989,0.010491701,0.0010442883
75,0.0064067775,0.007407846,-0.0010010684
62,0.00910793,0.008114266,0.0009936634
125,0.007857161,0.008802155,-0.0009449944
32,0.0055318964,0.0064766435,-0.0009447471
64,0.009546596,0.008617042,0.000929554
9,0.00970853,0.00881836,0.0008901702
26,0.00753197,0.008370017,-0.0008380469
98,0.0070001627,0.006163689,0.0008364739
42,0.0076607727,0.0069185356,0.0007422371
113,0.006938057,0.0062022326,0.00073582446
69,0.005728663,0.006433715,-0.00070505217
55,0.007898696,0.0072267354,0.0006719604
91,0.009210143,0.008596213,0.00061393064
93,0.0062059374,0.005676114,0.00052982336
102,0.0070512514,0.0065367264,0.000514525
94,0.0070764134,0.00656907,0.00050734356
54,0.0055370354,0.006033965,-0.0004969295
48,0.007500297,0.0070055206,0.0004947763
40,0.00854887,0.00902297,-0.0004741
20,0.0074210763,0.007822248,-0.00040117186
78,0.009732492,0.009479127,0.00025336538
95,0.008098738,0.007852066,0.00024667196
11,0.007837312,0.0076210005,0.00021631178
77,0.0057907957,0.0059512164,-0.00016042078
96,0.0076062013,0.007728784,-0.00012258254
112,0.0062224185,0.0062603797,-3.7961174e-05
88,0.0083373645,0.008369406,-3.2041222e-05
86,0.008982343,0.008956232,2.611056e-05
