prototype_id,mean_pos,mean_neg,diff_pos_minus_neg
67,0.005730687,0.007923567,-0.0021928796
7,0.006984027,0.009166219,-0.0021821922
105,0.013241295,0.011139012,0.0021022828
72,0.0075062406,0.00959606,-0.0020898194
113,0.007171449,0.0051318253,0.0020396234
40,0.0081117,0.010113501,-0.0020018006
121,0.006970323,0.008843955,-0.0018736315
127,0.008352272,0.0064889328,0.0018633395
60,0.0070387176,0.008839406,-0.0018006884
88,0.0076183896,0.009406744,-0.001788354
94,0.0073903045,0.0056172255,0.0017730789
90,0.0063164993,0.008046788,-0.0017302888
123,0.00704001,0.008733487,-0.0016934769
63,0.007415128,0.009064689,-0.0016495613
120,0.0076077273,0.009199225,-0.001591498
27,0.007443495,0.005868372,0.001575123
49,0.0074122357,0.008980586,-0.0015683505
102,0.005972478,0.007524183,-0.001551705
11,0.008301359,0.0067536193,0.0015477394
75,0.007891357,0.006345251,0.0015461058
38,0.0087292185,0.010268368,-0.0015391493
124,0.009262365,0.007749371,0.0015129941
48,0.006472823,0.007941248,-0.0014684247
4,0.009395943,0.00796646,0.0014294833
13,0.007227934,0.005818179,0.0014097551
84,0.009360596,0.0079561,0.0014044959
26,0.008791476,0.0074571413,0.0013343343
80,0.009088963,0.0103886835,-0.0012997203
62,0.0077606426,0.0089924475,-0.001231805
52,0.006621083,0.007821739,-0.0012006559
100,0.006972431,0.005772333,0.0012000981
65,0.0049082492,0.006101573,-0.0011933236
42,0.0075161597,0.0063699936,0.0011461661
9,0.0084911315,0.009619665,-0.0011285339
53,0.0049255984,0.0060240473,-0.0010984489
70,0.0038171206,0.004872509,-0.0010553882
92,0.010246252,0.009192319,0.001053933
35,0.0059925653,0.0070395693,-0.001047004
66,0.0069094547,0.007952575,-0.0010431199
10,0.0045250086,0.0055321036,-0.001007095
112,0.006655441,0.005693523,0.0009619179
8,0.0046976293,0.005641875,-0.0009442456
22,0.006512672,0.007417521,-0.0009048488
114,0.008501168,0.009401473,-0.0009003049
98,0.005927037,0.0068176463,-0.00089060934
77,0.0055677327,0.006425241,-0.0008575083
46,0.007603306,0.008460189,-0.00085688336
57,0.008655485,0.009500336,-0.00084485114
6,0.0056120795,0.0064218673,-0.0008097878
45,0.009579627,0.010388716,-0.0008090893
34,0.0068380013,0.006059252,0.0007787491
33,0.0067522954,0.005987218,0.0007650773
32,0.0060242643,0.006743932,-0.0007196679
24,0.007013562,0.0063079284,0.0007056338
85,0.009124359,0.00981101,-0.0006866511
103,0.0069557447,0.006294913,0.0006608316
93,0.005489949,0.0061410265,-0.00065107737
61,0.010400969,0.011021993,-0.0006210245
68,0.006804512,0.007400302,-0.00059579033
30,0.009436824,0.008846823,0.00059000123
99,0.008993762,0.009536198,-0.0005424367
110,0.00832295,0.007804908,0.0005180426
106,0.011806186,0.011313209,0.000492977
108,0.008673345,0.008182274,0.00049107056
115,0.006726054,0.0062395935,0.0004864605
69,0.0065073553,0.006058382,0.00044897338
41,0.007627629,0.008056954,-0.00042932434
64,0.008602398,0.008996655,-0.0003942568
107,0.0062211105,0.00583839,0.0003827205
25,0.00759901,0.007274627,0.0003243829
126,0.0063160406,0.005995972,0.00032006856
76,0.006607012,0.0063190935,0.00028791837
1,0.0074097286,0.0071249027,0.00028482592
51,0.006773041,0.006892417,-0.000119375996
111,0.0073826574,0.007479914,-9.725662e-05
16,0.006051048,0.00597899,7.205829e-05
82,0.0075286357,0.007563665,-3.502937e-05
